vice president and president and chief executive officer the company said the company said the company said the company said
the company said the company said the company said the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said the company said
the company said the company said has been advised the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said the company said
the company said the company said the company said the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said the company said
the company said the company said the company said the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said the company said
the company said the company said the company said the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said the company said
the company said the company said the company said the company said the company said the company said the company
said the company said the company said the company said the company said the company said the company said the
company said the company said the company said the company said the company said the company said will take effect
april and the company said the company said the company said the company said the company said the company said
the company said the company said its board declared two for one stock split may june reuter <eos> earn american
brands inc qtr dec net shr cts cts net revs mln mln avg shrs mln mln year shr cts cts
net revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the adelaide steamship
ltd adsa year net shr cts cts net revs mln mln avg shrs note current year net includes dlr tax
credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note share
adjusted for three for two stock split december reuter <eos> earn the adelaide steamship ltd adsa year net shr cts
cts net revs mln mln reuter <eos> earn the company inc year net shr cts cts net revs mln mln
note current year net includes dlr tax credit reuter <eos> earn the company inc qtr jan net shr cts cts
net revs mln mln avg shrs mln mln year shr cts cts net revs mln mln avg shrs note current
year net includes dlr tax credit reuter <eos> earn american medical corp qtr jan net shr cts cts net revs
mln mln year shr cts cts net revs mln mln avg shrs note net includes tax credits dlrs quarter and
dlrs nine mths reuter <eos> earn the federal savings bank shsb year net shr cts cts net mln mln revs
mln mln note net includes gain from sale investment and gas operations mln dlrs reuter <eos> earn corrected lilly and
inc mccrk qtr feb net shr cts cts net revs mln mln avg shrs nine mths shr cts cts net
revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the adelaide steamship ltd
adsa year net shr cts cts net mln mln revs mln mln note net includes tax credits dlrs quarter and
dlrs year reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note
net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp qtr jan net shr cts
cts net revs mln mln avg shrs mln mln nine mths shr cts cts net revs mln mln avg shrs
note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn american medical corp amgd year net shr
cts cts net revs mln mln reuter <eos> earn the federal savings bank hmsb sets initial dividend hike div cts
cts prior pay april record march reuter <eos> earn franklin resources inc ben sets payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss
revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn american medical corp qtr
loss oper shr loss cts loss cts oper net loss loss revs mln mln year oper shr loss cts loss
cts oper net loss loss revs mln mln note current year net excludes dlr tax credit reuter <eos> earn the
adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net includes dlr tax credit reuter
<eos> earn first interstate financial corp cpsa payout qtly div cts cts prior pay april record march reuter <eos> earn
franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln avg shrs note current
year net includes gain sale sale sale property and dlrs respectively for discontinued operations reuter <eos> earn the federal savings
bank hmsb sets initial dividend imperial bank commerce said its board declared initial quarterly dividend cts per share payable april
record march reuter <eos> earn franklin resources corp year loss shr loss cts loss cts net loss loss revs mln
mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets
initial dividend hike div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr
loss cts loss cts net loss loss revs mln mln avg shrs note current year net includes dlr tax credit
reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln note net includes
dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts cts net revs mln mln
note net includes dlr tax credit reuter <eos> earn first interstate financial corp cpsa payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss
revs mln mln avg shrs note current year net includes tax credits dlrs quarter and dlrs year reuter <eos> earn
american medical corp qtr jan net shr cts cts net revs mln mln avg shrs mln mln year shr cts
cts net revs mln mln avg shrs note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn
corrected butler manufacturing corp qtr jan net shr cts cts net revs mln mln nine mths shr cts cts net
revs mln mln note share adjusted for three for two stock split reuter <eos> earn corrected lilly and inc mccrk
qtr feb net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln note
current year net includes dlr tax credit reuter <eos> earn quantech electronics inc qant qtr feb net shr cts cts
net revs mln mln avg shrs mln mln year shr cts cts net revs mln mln avg shrs note current
year net both periods includes dlr gain from sale sale and craft industries reuter <eos> earn the new york stock
exchange payout mthly div cts cts prior pay april record march reuter <eos> earn franklin resources inc year loss shr
loss cts loss cts net loss loss revs mln mln note current year net includes dlr tax credit reuter <eos>
earn first federal brooksville ffbv ups payout qtly div cts cts prior pay april record march reuter <eos> earn franklin
resources inc ben sets payout qtly div cts cts prior pay april record march reuter <eos> earn franklin resources inc
year loss shr loss cts loss cts net loss loss revs mln mln note current year net includes dlr tax
credit reuter <eos> earn the federal frfe sets initial payout hike said its board declared two for one split its
common stock and distribute the dividend payable april shareholders record march reuter <eos> earn franklin resources inc year loss shr
loss cts loss cts net loss loss revs mln mln avg shrs note current year net includes dlr tax credit
reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs mln mln year shr cts
cts net revs mln mln avg shrs note net includes dlr tax credit reuter <eos> earn new harding group inc
qtr jan net shr cts cts net revs mln mln avg shrs mln mln year shr cts cts net revs
mln mln avg shrs note net includes tax credits dlrs quarter and dlrs nine mths reuter <eos> earn the federal
savings bank hmsb sets initial dividend imperial bank commerce said its board declared initial quarterly dividend cts per share payable
april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss revs
mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn scott hospitality inc qtr jan
net shr cts cts net revs mln mln nine mths shr cts cts net revs mln mln note current year
net includes dlr tax credit reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs
mln mln year shr cts cts net revs mln mln note share adjusted for three for two stock split december
reuter <eos> earn national medical inc year loss shr loss cts loss cts net loss loss revs mln mln avg
shrs note current year net includes dlr tax credit reuter <eos> earn the federal savings bank hmsb sets initial dividend
hike div cts cts prior pay april record march reuter <eos> earn franklin resources corp qtr jan net shr cts
cts net revs mln mln year shr cts cts net revs mln mln note net includes tax credits dlrs quarter
and dlrs year reuter <eos> earn american medical corp qtr loss oper shr loss cts loss cts oper net loss
loss revs mln mln year oper shr loss cts loss cts oper net loss loss revs mln mln avg shrs
note current year net excludes dlr tax credit reuter <eos> earn the adelaide steamship ltd adsa year net shr cts
cts net revs mln mln note net includes tax credits dlrs quarter and dlrs year reuter <eos> earn the federal
savings bank hmsb sets initial dividend hike div cts cts prior pay april record march reuter <eos> earn franklin massachusetts
insured sets payout mthly div cts cts prior pay april record march reuter <eos> earn franklin ohio insured sets payout
mthly div cts cts prior pay april record march reuter <eos> earn franklin california insured sets payout mthly div cts
cts prior qtr payable april record march reuter <eos> earn national fuel inc nsm qtr loss shr loss cts loss
cts net loss loss sales mln mln year shr loss cts loss cts net loss loss sales mln mln note
current year net includes dlr tax credit reuter <eos> earn first financial ffmc sets payout qtly div cts cts prior
pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss loss
revs mln mln reuter <eos> earn new harding group inc qtr jan net shr cts cts net sales mln mln
avg shrs mln mln year shr dlrs dlrs net revs mln mln note current year net includes gain sale sale
sale real estate dlrs dlrs quarter and dlrs dlrs year reuter <eos> earn american medical corp qtr jan loss shr
loss cts loss cts net loss loss revs mln mln year shr loss cts loss cts net loss loss revs
mln mln note current year net includes loss from discontinued operations dlrs dlrs quarter and dlrs dlrs year reuter <eos>
earn the federal savings bank hmsb sets initial dividend hike div cts cts prior pay april record march reuter <eos>
earn franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note current year
net includes dlr tax credit reuter <eos> earn first federal savings bank hmsb sets initial payout qtly div cts cts
prior pay april record march reuter <eos> earn franklin resources inc year loss shr loss cts loss cts net loss
loss revs mln mln avg shrs note current year net includes dlr tax credit reuter <eos> earn the federal savings
bank hmsb sets initial dividend hike div cts cts prior pay april record march reuter <eos> earn franklin california insured
sets payout mthly div cts cts prior qtr payable april record march reuter <eos> earn franklin resources inc year loss
shr loss cts loss cts net loss loss revs mln mln note current year net includes dlr tax credit reuter
<eos> earn the federal paper fbt sets payout qtly div cts cts prior pay april record march reuter <eos> earn
franklin resources inc year loss shr loss cts loss cts net loss loss revs mln mln note current year net
includes dlr tax credit reuter <eos> earn the writer corp wrtc qtr loss shr loss cts loss cts net loss
loss revs year shr loss cts loss cts net loss loss revs avg shrs note current year net includes dlr
tax credit reuter <eos> earn the company stores inc qtr jan net shr cts cts net revs mln mln avg
shrs mln mln year shr dlrs dlrs net revs mln mln avg shrs note net includes tax credits dlrs quarter
